DATE,TIME,DOY,ASY-D,ASY-H,SYM-D,SYM-H
11/01/2020,06:00.0,11,14,11,-2,-10
11/01/2020,07:00.0,11,14,11,-2,-10
11/01/2020,08:00.0,11,14,11,-2,-10
11/01/2020,09:00.0,11,13,11,-2,-10
11/01/2020,10:00.0,11,13,11,-2,-10
11/01/2020,11:00.0,11,13,11,-2,-10
11/01/2020,12:00.0,11,12,11,-2,-10
11/01/2020,13:00.0,11,12,10,-2,-11
11/01/2020,14:00.0,11,12,11,-2,-10
11/01/2020,15:00.0,11,12,10,-3,-11
11/01/2020,16:00.0,11,12,10,-2,-11
11/01/2020,17:00.0,11,12,10,-3,-11
11/01/2020,18:00.0,11,12,10,-3,-11
11/01/2020,19:00.0,11,12,10,-3,-11
11/01/2020,20:00.0,11,12,10,-3,-11
11/01/2020,21:00.0,11,12,10,-2,-11
11/01/2020,22:00.0,11,12,10,-2,-12
11/01/2020,23:00.0,11,11,11,-2,-12
11/01/2020,24:00.0,11,11,11,-3,-12
11/01/2020,25:00.0,11,12,10,-2,-12
11/01/2020,26:00.0,11,11,10,-2,-12
11/01/2020,27:00.0,11,11,9,-2,-12
11/01/2020,28:00.0,11,11,9,-2,-12
11/01/2020,29:00.0,11,12,10,-2,-12
11/01/2020,30:00.0,11,12,10,-2,-12
11/01/2020,31:00.0,11,12,11,-2,-12
11/01/2020,32:00.0,11,11,10,-2,-12
11/01/2020,33:00.0,11,11,11,-2,-12
11/01/2020,34:00.0,11,11,11,-2,-12
11/01/2020,35:00.0,11,11,10,-2,-12
11/01/2020,36:00.0,11,12,11,-2,-12
11/01/2020,37:00.0,11,12,11,-2,-12
11/01/2020,38:00.0,11,12,12,-2,-12
11/01/2020,39:00.0,11,12,12,-2,-12
11/01/2020,40:00.0,11,11,12,-2,-12
11/01/2020,41:00.0,11,12,13,-3,-13
11/01/2020,42:00.0,11,12,14,-3,-12
11/01/2020,43:00.0,11,12,13,-3,-12
11/01/2020,44:00.0,11,12,13,-3,-12
11/01/2020,45:00.0,11,12,12,-3,-12
11/01/2020,46:00.0,11,11,11,-3,-11
11/01/2020,47:00.0,11,11,11,-3,-11
11/01/2020,48:00.0,11,11,11,-3,-12
11/01/2020,49:00.0,11,12,11,-2,-12
11/01/2020,50:00.0,11,12,12,-3,-11
11/01/2020,51:00.0,11,11,12,-3,-11
11/01/2020,52:00.0,11,11,11,-3,-12
11/01/2020,53:00.0,11,12,10,-2,-12
11/01/2020,54:00.0,11,12,12,-2,-12
11/01/2020,55:00.0,11,12,11,-2,-11
11/01/2020,56:00.0,11,12,11,-2,-11
11/01/2020,57:00.0,11,12,11,-2,-12
11/01/2020,58:00.0,11,11,11,-2,-12
11/01/2020,59:00.0,11,11,11,-2,-12
11/01/2020,00:00.0,11,11,10,-2,-12
11/01/2020,01:00.0,11,11,9,-2,-12
11/01/2020,02:00.0,11,12,9,-2,-11
11/01/2020,03:00.0,11,13,9,-2,-11
11/01/2020,04:00.0,11,12,10,-2,-11
11/01/2020,05:00.0,11,12,11,-2,-11
11/01/2020,06:00.0,11,12,11,-2,-11
11/01/2020,07:00.0,11,13,12,-2,-10
11/01/2020,08:00.0,11,12,12,-2,-10
11/01/2020,09:00.0,11,13,11,-1,-10
11/01/2020,10:00.0,11,13,10,-1,-10
11/01/2020,11:00.0,11,13,11,-1,-10
11/01/2020,12:00.0,11,13,11,-1,-10
11/01/2020,13:00.0,11,12,10,-1,-10
11/01/2020,14:00.0,11,13,10,-1,-10
11/01/2020,15:00.0,11,13,10,-1,-10
11/01/2020,16:00.0,11,12,10,-1,-10
11/01/2020,17:00.0,11,12,10,-1,-10
11/01/2020,18:00.0,11,12,8,-1,-10
11/01/2020,19:00.0,11,13,8,-1,-10
11/01/2020,20:00.0,11,13,8,-1,-10
11/01/2020,21:00.0,11,13,8,-1,-10
11/01/2020,22:00.0,11,13,8,-1,-10
11/01/2020,23:00.0,11,13,8,-1,-10
11/01/2020,24:00.0,11,13,9,-1,-10
11/01/2020,25:00.0,11,13,9,-1,-10
11/01/2020,26:00.0,11,15,9,-1,-10
11/01/2020,27:00.0,11,15,9,0,-10
11/01/2020,28:00.0,11,14,9,0,-11
11/01/2020,29:00.0,11,15,9,0,-11
11/01/2020,30:00.0,11,14,9,0,-12
11/01/2020,31:00.0,11,14,9,0,-12
11/01/2020,32:00.0,11,14,9,0,-12
11/01/2020,33:00.0,11,13,9,0,-13
11/01/2020,34:00.0,11,12,9,0,-13
11/01/2020,35:00.0,11,12,9,0,-14
11/01/2020,36:00.0,11,11,9,0,-14
11/01/2020,37:00.0,11,12,10,0,-14
11/01/2020,38:00.0,11,11,10,0,-14
11/01/2020,39:00.0,11,11,10,0,-15
11/01/2020,40:00.0,11,10,10,0,-15
11/01/2020,41:00.0,11,10,10,-1,-15
11/01/2020,42:00.0,11,9,10,-1,-15
11/01/2020,43:00.0,11,9,10,-1,-15
11/01/2020,44:00.0,11,10,11,-1,-15
11/01/2020,45:00.0,11,9,10,-1,-15
11/01/2020,46:00.0,11,8,10,-1,-15
11/01/2020,47:00.0,11,8,10,-1,-15
11/01/2020,48:00.0,11,8,11,-1,-16
11/01/2020,49:00.0,11,8,11,-1,-16
11/01/2020,50:00.0,11,7,11,-1,-16
11/01/2020,51:00.0,11,6,11,-1,-16
11/01/2020,52:00.0,11,6,11,-1,-16
11/01/2020,53:00.0,11,6,11,-1,-16
11/01/2020,54:00.0,11,6,11,-1,-16
11/01/2020,55:00.0,11,6,11,-1,-16
11/01/2020,56:00.0,11,6,12,-1,-16
11/01/2020,57:00.0,11,6,12,-1,-16
11/01/2020,58:00.0,11,6,11,-1,-16
11/01/2020,59:00.0,11,6,11,-1,-16
11/01/2020,00:00.0,11,6,11,-1,-16
11/01/2020,01:00.0,11,6,11,-1,-16
11/01/2020,02:00.0,11,7,12,-1,-16
11/01/2020,03:00.0,11,6,12,-1,-16
11/01/2020,04:00.0,11,6,12,-1,-16
11/01/2020,05:00.0,11,6,13,-1,-16
11/01/2020,06:00.0,11,6,12,-1,-16
11/01/2020,07:00.0,11,5,13,-1,-17
11/01/2020,08:00.0,11,5,12,-1,-17
11/01/2020,09:00.0,11,5,13,-1,-17
11/01/2020,10:00.0,11,5,12,-1,-17
11/01/2020,11:00.0,11,5,13,-1,-17
11/01/2020,12:00.0,11,5,12,-1,-17
11/01/2020,13:00.0,11,6,13,-1,-17
11/01/2020,14:00.0,11,6,13,-1,-17
11/01/2020,15:00.0,11,5,13,-1,-17
11/01/2020,16:00.0,11,5,13,-1,-17
11/01/2020,17:00.0,11,6,13,-1,-18
11/01/2020,18:00.0,11,6,13,-1,-18
11/01/2020,19:00.0,11,6,13,-1,-17
11/01/2020,20:00.0,11,7,13,-1,-17
11/01/2020,21:00.0,11,7,14,-1,-17
11/01/2020,22:00.0,11,8,14,-1,-17
11/01/2020,23:00.0,11,8,14,-1,-17
11/01/2020,24:00.0,11,8,14,-1,-17
11/01/2020,25:00.0,11,8,13,-1,-17
11/01/2020,26:00.0,11,8,14,-1,-17
11/01/2020,27:00.0,11,8,14,-1,-17
11/01/2020,28:00.0,11,8,15,-1,-16
11/01/2020,29:00.0,11,7,15,-1,-16
11/01/2020,30:00.0,11,8,17,-1,-16
11/01/2020,31:00.0,11,8,17,-1,-16
11/01/2020,32:00.0,11,8,17,-1,-16
11/01/2020,33:00.0,11,8,16,-1,-16
11/01/2020,34:00.0,11,8,16,-1,-15
11/01/2020,35:00.0,11,9,16,-1,-15
11/01/2020,36:00.0,11,9,16,-1,-15
11/01/2020,37:00.0,11,9,17,-1,-16
11/01/2020,38:00.0,11,10,16,-1,-16
11/01/2020,39:00.0,11,10,17,-1,-15
11/01/2020,40:00.0,11,10,17,-1,-15
11/01/2020,41:00.0,11,11,18,-1,-15
11/01/2020,42:00.0,11,11,18,-1,-15
11/01/2020,43:00.0,11,11,17,-1,-15
11/01/2020,44:00.0,11,11,17,-1,-15
11/01/2020,45:00.0,11,11,17,-1,-15
11/01/2020,46:00.0,11,12,17,-1,-15
11/01/2020,47:00.0,11,11,17,-1,-15
11/01/2020,48:00.0,11,12,17,-1,-15
